sentence,difficulty,wordnb,cognate,cognatenb,cognateratio
As-tu besoin de quelque chose?,A1,6,"['as-', 'tu ', 'besoin', 'de ']",4,0.6666666666666666
"Ici, c'est mon bureau.",A1,5,"['ici', ""c'"", 'est ', 'mon', 'bureau']",5,1.0
"Moi, je ne vais jamais chez elle.",A1,7,"['moi', 'je ', 'ne ', 'vais', 'chez', 'elle']",6,0.8571428571428571
Comment ça va ?,A1,3,['comment '],1,0.3333333333333333
J'ai un frère et une soeur.,A1,7,"[""j'ai"", 'ai ', 'un', 'et ', 'une ', 'soeur']",6,0.8571428571428571
Qu'est-ce que tu penses de cette peinture ?,A1,9,"[""qu'"", 'est-', 'ce ', 'que', 'tu ', 'penses', 'de ']",7,0.7777777777777778
Qu'est-ce qu'il a ton petit chat ?,A1,9,"[""qu'"", 'est-', 'ce ', ""qu'"", 'il ', 'ton ', 'petit ', 'chat']",8,0.8888888888888888
Qu'en pensez-vous ?,A1,4,"[""qu'"", 'en ', 'pensez', 'vous']",4,1.0
Elle ne travaille pas,A1,4,"['elle', 'ne ', 'pas']",3,0.75
Je n'aime pas le pain.,A1,6,"['je ', ""n'"", 'pas', 'le ', 'pain']",5,0.8333333333333334
"Oui, ça va, merci.",A1,4,"['oui', 'merci']",2,0.5
Qu'est-ce que vous faites le samedi et le dimanche ?,A1,11,"[""qu'"", 'est-', 'ce ', 'que', 'vous', 'le ', 'et ', 'le ']",8,0.7272727272727273
J'ai une soeur,A1,4,"[""j'ai"", 'ai ', 'une ', 'soeur']",4,1.0
Elle est petite.,A1,3,"['elle', 'est ', 'petite']",3,1.0
C'est une chance pour lui : il va gagner un peu plus d'argent.,A1,14,"[""c'"", 'est ', 'une ', 'chance', 'pour', 'lui', 'il ', 'va ', 'un', 'peu ', 'plus']",11,0.7857142857142857
Qu'est-ce que tu fais pour les vacances cette année,A1,11,"[""qu'"", 'est-', 'ce ', 'que', 'tu ', 'fais', 'pour', 'les ']",8,0.7272727272727273
Je suis désolée.,A1,3,"['je ', 'suis']",2,0.6666666666666666
Qu'est-ce que tu vas faire l'année prochaine,A1,10,"[""qu'"", 'est-', 'ce ', 'que', 'tu ', 'vas']",6,0.6
Je reste avec toi.,A1,4,"['je ', 'reste ', 'avec', 'toi']",4,1.0
C'est loin de Paris ça !,A1,6,"[""c'"", 'est ', 'loin', 'de ', 'paris ']",5,0.8333333333333334
Ce qui est faux.,A1,4,"['ce ', 'qui', 'est ', 'faux']",4,1.0
Elle pense à lui.,A1,4,"['elle', 'lui']",2,0.5
"C'est là, au bout de la rue.",A1,8,"[""c'"", 'est ', 'au ', 'bout', 'de ', 'la ', 'rue']",7,0.875
Ne pas le casser.,A1,4,"['ne ', 'pas', 'le ', 'casser']",4,1.0
La réponse est oui.,A1,4,"['la ', 'est ', 'oui']",3,0.75
C'est quoi le plat du jour s'il vous plaît ?,A1,11,"[""c'"", 'est ', 'quoi', 'le ', 'plat', 'du ', 'jour ', ""s'il"", 'il ', 'vous']",10,0.9090909090909091
Je suis dans ma chambre.,A1,5,"['je ', 'suis', 'dans', 'ma ']",4,0.8
Comment allez-vous ?,A1,3,"['comment ', 'vous']",2,0.6666666666666666
Je vais à la gare.,A1,5,"['je ', 'vais', 'la ', 'gare']",4,0.8
Qu'est-ce que vous avez comme tartes ?,A1,8,"[""qu'"", 'est-', 'ce ', 'que', 'vous', 'avez', 'comme', 'tartes']",8,1.0
Bien sûr que tu vas y aller.,A1,7,"['bien', 'sûr ', 'que', 'tu ', 'vas']",5,0.7142857142857143
"Tout va bien, merci.",A1,4,"['tout', 'va ', 'bien', 'merci']",4,1.0
Je suis nouveau ici.,A1,4,"['je ', 'suis', 'ici']",3,0.75
C'est clair.,A1,3,"[""c'"", 'est ']",2,0.6666666666666666
"Il y a beaucoup de choses à faire à Paris, crois-moi.",A1,12,"['il ', 'y a ', 'de ', 'paris', 'crois-', 'moi']",6,0.5
Je n'aime pas cette photo.,A1,6,"['je ', ""n'"", 'pas', 'photo']",4,0.6666666666666666
Je ne trouve pas le livre que tu cherches.,A1,9,"['je ', 'ne ', 'pas', 'le ', 'que', 'tu ', 'cherches']",7,0.7777777777777778
"Mais aujourd'hui, il a un peu peur.",A1,8,"['mais', 'aujourd', 'hui', 'il ', 'a un', 'un', 'peu ', 'peur']",8,1.0
Est-ce que ton mari est aussi de Boston?,A1,9,"['est-', 'ce ', 'que', 'ton ', 'mari', 'est ', 'aussi ', 'de ']",8,0.8888888888888888
Je ne comprends pas ta question.,A1,6,"['je ', 'ne ', 'comprends', 'pas', 'ta ']",5,0.8333333333333334
Le chien est le meilleur ami de l'homme.,A1,9,"['le ', 'est ', 'le ', 'ami ', 'de ']",5,0.5555555555555556
Je vais aller la chercher,A1,5,"['je ', 'vais', 'aller ', 'la ']",4,0.8
"Oui, ça sera tout ?",A1,4,"['oui', 'sera', 'tout']",3,0.75
"Un instant, s'il vous plaît.",A1,6,"['un', ""s'il"", 'il ', 'vous']",4,0.6666666666666666
Elle a ouvert la porte de la maison.,A1,8,"['elle', 'la ', 'porte', 'de ', 'la ']",5,0.625
Quoi !,A1,1,['quoi'],1,1.0
Il y a de la neige à la montage.,A1,9,"['il ', 'y a ', 'a de', 'de ', 'la ', 'la ', 'montage']",7,0.7777777777777778
Pourquoi on ne peut pas entrer dans la chambre ?,A1,9,"['on ', 'ne ', 'peut', 'pas', 'dans', 'la ']",6,0.6666666666666666
Qu'est-ce que vous mangez pour le petit-déjeuner ?,A1,10,"[""qu'"", 'est-', 'ce ', 'que', 'vous', 'mangez', 'pour', 'le ', 'petit-']",9,0.9
Je ne suis jamais content.,A1,5,"['je ', 'ne ', 'suis']",3,0.6
C'est très difficile.,A1,4,"[""c'"", 'est ']",2,0.5
Juste un peu.,A1,3,"['juste', 'un', 'peu']",3,1.0
"Oui, elle est grande. Mais le lit est petit.",A1,9,"['oui', 'elle', 'est ', 'mais', 'le ', 'lit ', 'est ']",7,0.7777777777777778
Et c'est efficace ?,A1,4,"['et ', ""c'"", 'est ']",3,0.75
Vous avez des enfants ?,A1,4,"['vous', 'avez', 'des ']",3,0.75
"Merci, c'est gentil.",A1,4,"['merci', ""c'"", 'est ', 'gentil']",4,1.0
Je suis en vacances !,A1,4,"['je ', 'suis', 'en ']",3,0.75
C'est très simple !,A1,4,"[""c'"", 'est ']",2,0.5
Moi c'est Pierre.,A1,4,"['moi', ""c'"", 'est ']",3,0.75
Elle est grande !,A1,3,"['elle', 'est ']",2,0.6666666666666666
Je ne parle pas bien français.,A1,6,"['je ', 'ne ', 'parle', 'pas', 'bien']",5,0.8333333333333334
Rien d'autre.,A1,3,['rien'],1,0.3333333333333333
Tout est prêt.,A1,3,"['tout', 'est ']",2,0.6666666666666666
On ne peut pas utiliser son portable et il n'est pas permis de manger,A1,15,"['on ', 'ne ', 'peut', 'pas', 'son ', 'portable', 'et ', 'il ', ""n'"", 'est ', 'pas', 'permis', 'de ']",13,0.8666666666666667
"Oui, je me doute.",A1,4,"['oui', 'je ', 'me ']",3,0.75
"Non, Je ne parle pas français.",A1,6,"['non', 'je ', 'ne ', 'parle', 'pas']",5,0.8333333333333334
Je reste en famille.,A1,4,"['je ', 'reste ', 'en ']",3,0.75
Que faire à Paris ?,A1,4,"['que', 'paris']",2,0.5
Peux-tu m'aider?,A1,4,"['peux', 'tu ', ""m'""]",3,0.75
"En été, j'aime faire de la randonnée et vous, que faites-vous le soir en hiver ?",A1,17,"['en ', ""j'"", 'de ', 'la ', 'et ', 'vous', 'que', 'vous', 'le ', 'soir', 'en ']",11,0.6470588235294118
Il va à l'école des petits.,A1,7,"['il ', 'va ', 'des ', 'petits']",4,0.5714285714285714
Je voudrais un café s'il-vous-plaît !,A1,8,"['je ', 'un', 'café', ""s'il"", 'il-', 'vous']",6,0.75
Très bien !,A1,2,['bien'],1,0.5
"Il est tard, je rentre chez moi.",A1,7,"['il ', 'est ', 'tard', 'je ', 'rentre', 'chez', 'moi']",7,1.0
Je vais prendre le premier.,A1,5,"['je ', 'vais', 'le ']",3,0.6
Quelle heure il est ?,A1,4,"['il ', 'est']",2,0.5
Il ne reste pas seul chez lui ce soir,A1,9,"['il ', 'ne ', 'reste ', 'pas', 'seul', 'chez', 'lui ', 'ce ', 'soir']",9,1.0
C'est magique pour les enfants.,A1,6,"[""c'"", 'est ', 'magique', 'pour', 'les ']",5,0.8333333333333334
Comment vas-tu ?,A1,3,"['comment ', 'vas']",2,0.6666666666666666
Je suis très belle.,A1,4,"['je ', 'suis', 'belle']",3,0.75
"Pour aller à la mairie, s'il vous plaît ?",A1,9,"['pour', 'aller ', 'la ', 'mairie', ""s'il"", 'il ', 'vous']",7,0.7777777777777778
Je prends le train.,A1,4,"['je ', 'prends', 'le ']",3,0.75
C'est un hôtel au bord de la mer,A1,9,"[""c'"", 'est ', 'un', 'au ', 'bord', 'de ', 'la ', 'mer']",8,0.8888888888888888
Je ne trouve pas la rue du marché.,A1,8,"['je ', 'ne ', 'pas', 'la ', 'rue ', 'du ', 'marché']",7,0.875
Il fait un temps magnifique et nous avons des milliers de choses à faire !,A1,14,"['il ', 'fait', 'un', 'temps', 'et ', 'nous', 'avons ', 'des ', 'de ']",9,0.6428571428571429
"Ce qui me plaît surtout, c'est le silence de la montagne.",A1,12,"['ce ', 'qui', 'me ', ""c'"", 'est ', 'le ', 'silence', 'de ', 'la ']",9,0.75
"Ca va, merci. Et toi ?",A1,5,"['ca ', 'merci', 'et ', 'toi']",4,0.8
"Entre les deux, il y a le gris : c'est un mélange de blanc et de noir.",A1,17,"['les ', 'deux', 'il ', 'y a ', 'a le', 'le ', 'gris', ""c'"", 'est ', 'un', 'de ', 'blanc ', 'et ', 'de ', 'noir']",15,0.8823529411764706
Ne regardez pas le livre.,A1,5,"['ne ', 'regardez', 'pas', 'le ']",4,0.8
Je voudrais la clé s'il vous plaît.,A1,8,"['je ', 'la ', 'clé', ""s'il"", 'il ', 'vous']",6,0.75
"Le jeudi et le vendredi, je reste chez moi et je travaille à la maison",A1,15,"['le ', 'jeudi', 'et ', 'le ', 'je ', 'reste ', 'chez', 'moi', 'et ', 'je ', 'la ']",11,0.7333333333333333
C'était super !,A1,3,"[""c'"", 'super']",2,0.6666666666666666
"Bonjour, ça va ?",A1,3,['bonjour'],1,0.3333333333333333
Tu ne trouves pas ça difficile ?,A1,6,"['tu ', 'ne ', 'pas']",3,0.5
Il faut savoir tout faire.,A1,5,"['il ', 'faut', 'tout']",3,0.6
Je ne trouve pas mes clés de maison.,A1,8,"['je ', 'ne ', 'pas', 'mes ', 'de ']",5,0.625
"Qu'est-ce que je vous sers, mesdemoiselles ?",A1,8,"[""qu'"", 'est-', 'ce ', 'que', 'je ', 'vous', 'sers', 'mesdemoiselles']",8,1.0
Tout le monde a bien mangé.,A1,6,"['tout', 'le ', 'bien']",3,0.5
Tu vas à l'université ?,A1,5,"['tu ', 'vas']",2,0.4
Salut tout le monde,A1,4,"['salut ', 'tout', 'le ']",3,0.75
Savez-vous pourquoi ?,A1,3,['vous'],1,0.3333333333333333
Elle est plus âgée que moi.,A1,6,"['elle', 'est ', 'plus', 'que', 'moi']",5,0.8333333333333334
Il a des lunettes,A1,4,"['il ', 'a des ', 'des ', 'lunettes']",4,1.0
Est-ce que vous avez des projets pour le Nouvel An ?,A1,11,"['est-', 'ce ', 'que', 'vous', 'avez', 'des ', 'pour', 'le ']",8,0.7272727272727273
Il sera content de te voir.,A1,6,"['il ', 'sera', 'de ', 'te ', 'voir']",5,0.8333333333333334
"Là, c'est le bureau de notre manageur.",A1,8,"[""c'"", 'est ', 'le ', 'bureau', 'de ']",5,0.625
"J'ai préparé le repas, il est dans la cuisine.",A1,10,"[""j'ai"", 'ai ', 'le ', 'il ', 'est ', 'dans', 'la ']",7,0.7
"Où sont les toilettes, s'il-vous-plaît ?",A1,8,"['sont', 'les ', 'toilettes', ""s'il"", 'il-', 'vous']",6,0.75
J'ai hâte de la rencontrer.,A1,6,"[""j'ai"", 'ai ', 'hâte', 'de ', 'la ']",5,0.8333333333333334
C'est parce qu'il n'aimait pas les plats de la cantine.,A1,13,"[""c'"", 'est ', ""qu'"", 'il ', ""n'"", 'aimait', 'pas', 'les ', 'plats', 'de ', 'la ', 'cantine']",12,0.9230769230769231
Est-ce que je peux chercher mes valises ?,A1,8,"['est-', 'ce ', 'que', 'je ', 'peux', 'mes ', 'valises']",7,0.875
Il est sous la douche.,A1,5,"['il ', 'est ', 'sous', 'la ', 'douche']",5,1.0
Il a trouvé un copain.,A1,5,"['il ', 'un', 'copain']",3,0.6
"Après, je vais dans la cuisine et je bois mon café",A1,11,"['je ', 'vais', 'dans', 'la ', 'et ', 'je ', 'bois', 'mon', 'café']",9,0.8181818181818182
Vous vous appelez comment ?,A1,4,"['vous', 'vous', 'appelez']",3,0.75
Il est bizarre ce chien.,A1,5,"['il ', 'est ', 'bizarre', 'ce ']",4,0.8
"À droite de la table, il y a un fauteuil et sur le fauteuil il y a un blouson",A1,19,"['droite', 'de ', 'la ', 'il ', 'y a ', 'a un', 'un', 'fauteuil', 'et ', 'sur ', 'le ', 'fauteuil', 'il ', 'y a ', 'a un', 'un', 'blouson']",17,0.8947368421052632
Juste un moment.,A1,3,"['juste', 'un']",2,0.6666666666666666
Qu'as-tu mangé ?,A1,4,"[""qu'"", 'as-', 'tu ']",3,0.75
Ce magasin n'est pas loins de chez moi,A1,9,"['ce ', ""n'"", 'est ', 'pas', 'loins', 'de ', 'chez', 'moi']",8,0.8888888888888888
Je suis professeur.,A1,3,"['je ', 'suis']",2,0.6666666666666666
Son frère est à côté,A1,5,"['son ', 'est ', 'côté']",3,0.6
Il s'appelle Albert et il a un an.,A1,9,"['il ', ""s'"", 'albert', 'et ', 'il ', 'a un', 'un']",7,0.7777777777777778
"Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.",A1,19,"['le ', 'temps', 'de ', 'plus', 'en ', 'plus', 'il ', 'de ', 'la ', 'et ', 'du ', 'vent']",12,0.631578947368421
Il est très fâché parce qu'elle ne lui a pas répondu au téléphone.,A1,14,"['il ', 'est ', ""qu'"", 'elle', 'ne ', 'lui ', 'a pas ', 'pas', 'au ']",9,0.6428571428571429
"Le soir, pour me détendre, j'écoute de la musique ou je regarde un peu la télé",A1,17,"['le ', 'soir', 'pour', 'me ', ""j'"", 'de ', 'la ', 'je ', 'un', 'peu ', 'la ', 'télé']",12,0.7058823529411765
"Je ne peux rien te dire, Victor.",A1,7,"['je ', 'ne ', 'peux', 'rien', 'te ', 'dire', 'victor']",7,1.0
Encore une fois.,A1,3,"['encore', 'une ', 'fois']",3,1.0
"Il ne la connaît pas bien, alors il demande à ses autres collègues",A1,13,"['il ', 'ne ', 'la ', 'pas', 'bien', 'alors ', 'il ', 'ses ']",8,0.6153846153846154
Je suis triste sans elle.,A1,5,"['je ', 'suis', 'triste', 'sans', 'elle']",5,1.0
Oh oui !,A1,2,"['oh ', 'oui']",2,1.0
J'aime le café.,A1,4,"[""j'"", 'le ', 'café']",3,0.75
"Vous pouvez expliquer encore une fois, s'il vous plaît ?",A1,10,"['vous', 'encore', 'une ', 'fois', ""s'il"", 'il ', 'vous']",7,0.7
Je ne trouve pas mes clés.,A1,6,"['je ', 'ne ', 'pas', 'mes ']",4,0.6666666666666666
"Moi, je suis français!",A1,4,"['moi', 'je ', 'suis']",3,0.75
Etes-vous à la maison ?,A1,5,"['etes', 'vous', 'la ']",3,0.6
Je dois beaucoup travailler mais ça me plaît,A1,8,"['je ', 'dois', 'mais', 'me ']",4,0.5
"Je suis encore au bureau, je vais rentrer plus tard.",A1,10,"['je ', 'suis', 'encore', 'au ', 'bureau', 'je ', 'vais', 'plus', 'tard']",9,0.9
Je t'appelle demain,A1,4,"['je ', ""t'""]",2,0.5
Il y a beaucoup de désordre dans l'appartement.,A1,9,"['il ', 'y a ', 'de ', 'dans']",4,0.4444444444444444
"Je suis désolé, j'ai oublié mes devoirs à la maison.",A1,11,"['je ', 'suis', ""j'ai"", 'ai ', 'mes ', 'la ']",6,0.5454545454545454
il appelle un docteur !,A1,4,"['il ', 'un']",2,0.5
C'est chouette !,A1,3,"[""c'"", 'est ', 'chouette']",3,1.0
"C'est peut-être un petit frère, un gentil chien comme moi .",A1,12,"[""c'"", 'est ', 'peut', 'un', 'petit ', 'un', 'gentil', 'comme', 'moi']",9,0.75
Il commence à y avoir de la pluie et du vent. C'est le moment de sortir mon manteau et mon parapluie !,A1,22,"['il ', 'de ', 'la ', 'et ', 'du ', 'vent', ""c'"", 'est ', 'le ', 'de ', 'mon', 'et ', 'mon', 'parapluie']",14,0.6363636363636364
"Si tu veux, tu peux arriver tôt.",A1,7,"['si ', 'tu ', 'veux', 'tu ', 'peux', 'tôt']",6,0.8571428571428571
Je comprends la situation.,A1,4,"['je ', 'comprends', 'la ']",3,0.75
J'ai la carte jeune.,A1,5,"[""j'ai"", 'ai ', 'la ', 'carte']",4,0.8
Bonjour a tous!,A1,3,"['bonjour', 'tous']",2,0.6666666666666666
Il est important de boire du café.,A1,7,"['il ', 'est ', 'de ', 'du ', 'café']",5,0.7142857142857143
Elle est au chômage en ce moment,A1,7,"['elle', 'est ', 'au ', 'en ', 'ce ']",5,0.7142857142857143
Juste un petit peu.,A1,4,"['juste', 'un', 'petit ', 'peu']",4,1.0
Ils seront tous à la maison ce soir.,A1,8,"['ils ', 'seront', 'tous', 'la ', 'ce ', 'soir']",6,0.75
Je sors avec des amis.,A1,5,"['je ', 'sors', 'avec', 'des ', 'amis']",5,1.0
J'ai faim,A1,3,"[""j'ai"", 'ai ', 'faim']",3,1.0
Elle est entrée.,A1,3,"['elle', 'est ']",2,0.6666666666666666
"Je suis une fille, je suis française et j'ai treize ans",A1,12,"['je ', 'suis', 'une ', 'je ', 'suis', 'et ', ""j'ai"", 'ai ', 'ans']",9,0.75
Il vient à la cérémonie ce soir,A1,7,"['il ', 'la ', 'ce ', 'soir']",4,0.5714285714285714
Il ne me laisse pas regarder la télévision.,A1,8,"['il ', 'ne ', 'me ', 'pas', 'la ']",5,0.625
Je parle beaucoup.,A1,3,"['je ', 'parle']",2,0.6666666666666666
Je travaille chez moi le matin et l'après-midi,A1,10,"['je ', 'chez', 'moi', 'le ', 'et ', 'après-', 'midi']",7,0.7
Es-tu prêt?,A1,3,"['es-', 'tu ']",2,0.6666666666666666
Vous prenez la voiture.,A1,4,"['vous', 'prenez', 'la ']",3,0.75
j'espère vous avoir près de moi pour une jolie fête.,A1,11,"[""j'"", 'espère', 'vous', 'de ', 'moi', 'pour', 'une ', 'jolie', 'fête']",9,0.8181818181818182
Je n'aime pas dessiner.,A1,5,"['je ', ""n'"", 'pas', 'dessiner']",4,0.8
Un enfant est drôle.,A1,4,"['un', 'est ']",2,0.5
Tu me fais plaisir !,A1,4,"['tu ', 'me ', 'fais']",3,0.75
Tu gagnes de l'argent.,A1,5,"['tu ', 'de ']",2,0.4
On s'est tout de suite très bien entendues.,A1,9,"['on ', ""s'"", 'est ', 'tout', 'de ', 'bien', 'entendues']",7,0.7777777777777778
Je te présente Marie. C'est une amie.,A1,8,"['je ', 'te ', ""c'"", 'est ', 'une ', 'amie']",6,0.75
J'ai froid,A1,3,"[""j'ai"", 'ai ']",2,0.6666666666666666
Je suis le mouton,A1,4,"['je ', 'suis', 'le ', 'mouton']",4,1.0
Elle est rapide.,A1,3,"['elle', 'est ', 'rapide']",3,1.0
Je suis architecte. Et toi ?,A1,5,"['je ', 'suis', 'et ', 'toi']",4,0.8
"Tous les lundis, c'est la même chose",A1,8,"['tous', 'les ', 'lundis', ""c'"", 'est ', 'la ', 'même']",7,0.875
Je vous coupe les cheveux.,A1,5,"['je ', 'vous', 'les ']",3,0.6
Comment allez-vous aujourd'hui ?,A1,5,"['comment ', 'vous', 'aujourd', 'hui']",4,0.8
Monsieur de Cyrano n'est pas là ?,A1,7,"['de ', 'cyrano', ""n'"", 'est ', 'pas']",5,0.7142857142857143
"Et après, on peut prendre un bain dans la piscine, l'eau est bonne !",A1,14,"['et ', 'on ', 'peut', 'un', 'bain', 'dans', 'la ', 'piscine', 'eau ', 'est ']",10,0.7142857142857143
"Je suis malade, je reste dans mon lit aujourd'hui.",A1,10,"['je ', 'suis', 'malade', 'je ', 'reste ', 'dans', 'mon', 'lit ', 'aujourd', 'hui']",10,1.0
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,14,"['le ', 'bleu', ""c'"", 'est ', 'ma ', 'mais', 'je ', ""n'"", 'pas', 'le ', 'vert']",11,0.7857142857142857
La balle est partie.,A1,4,"['la ', 'balle', 'est ', 'partie']",4,1.0
ça me donne faim tout ça,A1,6,"['me ', 'faim', 'tout']",3,0.5
Elle aime le sport et la musique,A1,7,"['elle', 'le ', 'et ', 'la ']",4,0.5714285714285714
Tu rêves de partir.,A1,4,"['tu ', 'de ', 'partir']",3,0.75
Je mange de l'herbe,A1,5,"['je ', 'de ', 'herbe']",3,0.6
Que se passe-t-il?,A1,5,"['que', 'se ', 'passe', 't-il']",4,0.8
Un bureau !,A1,2,"['un', 'bureau']",2,1.0
Il n'a pas cours l'après-midi du mercredi,A1,10,"['il ', ""n'a "", 'a pas ', 'pas', 'après-', 'midi', 'du ', 'mercredi']",8,0.8
Il y a des cours de portugais.,A1,7,"['il ', 'y a ', 'a des ', 'des ', 'de ']",5,0.7142857142857143
Vous êtes partie.,A1,3,"['vous', 'partie']",2,0.6666666666666666
"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.",A1,18,"['mon', 'mari', 'et ', 'moi', 'avons ', 'deux', 'une ', 'de ', 'sept', 'ans ', 'et ', 'un', 'de ', 'ans']",14,0.7777777777777778
