sentence;difficulty
Coucou mes amis, je réunis tous ceux que j'aime bien pour fêter l'arrivée de l'été le 21 juin;A1
Vous avez rendez-vous chez le dentiste.;A1
Elle a acheté des vêtements : un beau pull chaud et et une belle robe;A1
Ils ont pris une pizza;A1
J'ai vu la tour Eiffel ?;A1
Malheureusement, la batterie ne marche pas.;A1
Tu bois du vin.;A1
Oui, comme entrée ?;A1
J'ai 20 ans.;A1
J'ai 25 ans.;A1
Je prends le train dimanche matin.;A1
J'ai réservé pour deux nuits.;A1
Si vous êtes intéressé, appelez-moi.;A1
Mais le weekend, nous nous levons tous les deux à neuf heures.;A1
Ce soir, nous mangeons du poisson et des pommes de terre au dîner;A1
Tous les ans, Jean passe ses vacances dans un grand hôtel du Sud de la France;A1
Cette année Virginie est partie une semaine dans un hôtel à Arcachon avec son mari;A1
Je vais prendre ma douche dans ma salle-de-bain.;A1
Je fais mon exposé devant toute la classe.;A1
Je t'envoie de gros bisous;A1
Pouvez-vous parler plus lentement ?;A1
Ben, on est tous débordés quoi.;A1
Elle écrit une lettre.;A1
Malheureusement, une semaine est vite passée et nous serons bientôt de retour à Paris.;A1
J'adore cette petite histoire.;A1
Qui propose un travail de serveur ?;A1
Elle s'est baignée, elle s'est reposée, elle s'est amusée;A1
La connexion ne fonctionne plus.;A1
Folio est la gardienne de l'appartement.;A1
C'est le plat préféré de Manon.;A1
Il est midi et quize minutes.;A1
Vous parlez bien anglais.;A1
Nous vivons dans une jolie maison avec un grand jardin.;A1
Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter;A1
J'étais fier !;A1
Elle a 20 ans;A1
Elle a 21 ans;A1
Les vacances sont les moments préférés de Pierre car il a pour habitude d'aller chez ses grands-parents qui vivent dans une ferme de la campagne normande;A1
Elle fait ses courses.;A1
S'il fait beau, l'après-midi vous pouvez aller au jardin du Luxembourg.;A1
Le second s'appelle Yann et il a neuf ans;A1
Ouais !;A1
Je m'appelle Henri.;A1
Séverine est arrivée après une annonce que ma fille a faite.;A1
Il est ingénieur dans une societé d'informatique.;A1
Tous les dimanches, je vais faire mes courses au marché.;A1
Elle va souvent au cinéma;A1
Les grands-parents de nos enfants aiment passer du temps avec nous lors des vacances.;A1
J'adore amuser les enfants.;A1
Delphine, je t'attends au coin de la rue, devant la pharmacie;A1
J'habite à Paris.;A1
Le rouge est la couleure des tomates et des fraises.;A1
Il y a deux trains pour Lille le matin;A1
John et Delphine se rencontrent pour la première fois sur une plage en face d'une hôtel.;A1
Je te présente Marie.;A1
On peut aussi aller au théâtre, dans les musées ou au cinéma;A1
Il me reste des croissants.;A1
Ils vont souvent à l'opéra;A1
Venez ici.;A1
Quel âge ont-ils ?;A1
Pourrais-tu m'accompagner;A1
Tu descends l'escalier et tu tournes à gauche.;A1
Pendant les trois années d'études, je vivais déjà chez elle.;A1
Je consulte d'habitude ma messagerie. Et puis je prends un café.;A1
Elle porte des lunettes.;A1
J'écoute des dialogues tous les jours.;A1
Le chat est arrivé dans le salon et il gratté le fauteuil avec ses griffes.;A1
Le jour de la rentrée au collège, Pierre fait connaissance avec un nouvel élève de sa classe.;A1
Pouvez-vous m'aidez ?;A1
Hier soir, j'ai travaillé jusqu'à minuit.;A1
Je profite aussi du petit déjeuner pour lire les infos en ligne;A1
Nous allons au restaurant.;A1
Où se trouve le supermarché?;A1
Je lis un livre très intéressant !;A1
Nous avons une voiture bleue.;A1
Je suis très gourmande, et j'adore également l'automne à cause de ses fruits et légumes de saison;A1
Quelle est ta chanson préférée dans le spectacle ?;A1
Il y a cinq chambres, une grande cuisine, un salon et deux salles de bains;A1
Ce matin, Sarah est triste.;A1
J'habite à Rouen mais je travaille à Paris;A1
Je préfère un autre bijou.;A1
Il a les cheveux raides.;A1
Je viendrai dîner avec mon amie.;A1
Je vis chez Gérarda avec ma fille depuis deux ans.;A1
On peut encore se promener dans les bois, et admirer toutes les couleurs chaleureuses comme le rouge, l'orange et le jaune;A1
Je mange une pomme.;A1
Cette histoire ne ressemble pas à celle de Vacances romaines.;A1
J'ai quatre pattes;A1
Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner;A1
À dimanche!;A1
J'aime beaucoup ce manteau noir.;A1
Londres est différent de Paris.;A1
Mes parents habitent dans un immeuble près de chez moi;A1
Francis ne viendra pas en cours aujourd'hui.;A1
Tu fais tes devoirs.;A1
Je vais ensuite prendre ma douche dans ma salle-de-bain;A1
Alors on se tient au courant pour samedi prochain ?;A1
Ne quittez pas, je vous passe Marc Lebrun.;A1
En général, je me lève assez tôt tous les matins;A1
Ils sont arrivés samedi matin et ils ont visité la ville toute la journée;A1
Sa voiture rouge est très rapide.;A1
Bonne semaine et à bientôt Merci beaucoup Lida !;A1
Nous parlons français lorsque nous sommes dehors, à l'école ou au marché;A1
J'habite au Niger, et vous ?;A1
Elle passe aussi à la boulangerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner;A1
Un rêve d'enfant réalisé.;A1
Sauf si je dois compter jusqu'à 5.;A1
Elle, c'est Gérarda, elle a 85 ans, et elle vit avec Séverine, 36 ans et sa fille Kéline de 8 ans.;A1
On doit toujours écouter ses parents;A1
Je profite aussi du petit-déjeuner pour lire les infos en ligne;A1
Elle regrette de devoir beaucoup travailler;A1
Elle apprécie le quartier dans lequel elle vit.;A1
Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne.;A1
Faites des groupes de trois personnes.;A1
Cet après-midi, mes amis et moi allons au cinéma.;A1
Miaou, je veux rentrer à la maison, chez Jules.;A1
J'aime les voyages et la littérature russe.;A1
Dani, est-ce que tu t'es inscrite à ton concours administratif ?;A1
Jean a une copine.;A1
Nous vous remercions de voyager sur la compagnie France Air.;A1
Il achète des légumes et des fruits.;A1
Elle fait des bons gâteaux;A1
Ils se sont beaucoup promenés;A1
Ma mère s'appelle Marie.;A1
Merci, bon voyage.;A1
Il choisit toujours une grande chambre;A1
J'ai eu un week-end un peu spécial.;A1
Nicolas va se marier, pour la deuxième fois.;A1
Le parc national de Chamonix a besoin de 5 guides pour l'été.;A1
Quelle est votre profession ?;A1
Papa raconte une histoire aux enfants pour les endormir.;A1
Il faut alors prendre le métro durant vingt minutes avant d'arriver devant l'école.;A1
Le Canada se trouve au nord de l'amerique;A1
Nous nageons dans la piscine.;A1
La Fête des mères est un jour très spécial durant lequel les mamans sont mises à l'honneur.;A1
Elle parle anglais et français et elle étudie l'espagnol;A1
Elle partage un appartement avec deux garçons.;A1
J'aime courir sous la pluie.;A1
Alors qu'elle revenait du marché à travers la brousse, une femme laisse tomber une cruche et continue son chemin sans s'apercevoir de rien.;A1
"Le restaurant ""Bon appétit"" recherche des serveurs pour l'été.";A1
J'aime beaucoup ceux avec la tour Eiffel.;A1
Nous commençons un nouveau cours;A1
Max ira à l'université l'année prochaine.;A1
J'ai hâte que tu viennes me rendre visite le mois prochain, pour te montrer mes endroits préférés;A1
Nous les mangeons ensemble le samedi soir.;A1
Je vais prendre le steak frites.;A1
Lave bien le pot de yaourt, il doit être propre!;A1
Il est agréable de se promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.;A1
Je suis née aux Pays-Bas;A1
Mon mari est éditeur.;A1
Ma soeur préfère aller à la plage pour lire et bronzer.;A1
Alors voici ta chambre.;A1
L'orange est la couleur de certains fruits, comme l'orange qui porte son nom, la clémentine ou l'abricot.;A1
Les voici en sept points.;A1
Le rouge, le jaune et le bleu sont les trois couleurs primaires.;A1
Mes frères et moi parlons français, italien et allemand à la maison;A1
Elle est belge.;A1
Tu aimes ma nouvelle robe ?;A1
C'est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.;A1
Cet après-midi, avec mes amis nous allons au cinéma.;A1
Vous êtes française.;A1
Le prof de planche à voile est agréable.;A1
Et bien sûr, c'est également la saison parfaite pour savourer une boisson chaude emmitouflée dans une couverture devant un bon feu de cheminée;A1
Où irons-nous en vacances l'année prochaine ?;A1
Albert, Folio, venez me faire un gros câlin, je suis si heureux !;A1
je me réveille tous les jpurs à 6 heures et quart.;A1
Chaque matin, je prends mon petit déjeuner à 8 heures.;A1
Il parle italien et anglais;A1
Bonjour, je m'appelle Igor;A1
Avec la peinture, faits des dessins sur le pot.;A1
Pourquoi as-tu quitté Limoges ?;A1
Pour six personnes.;A1
J'habite à New York.;A1
Voilà, monsieur;A1
Je travaille de 9 heures à 12 heures.;A1
Aujourd'hui, on est samedi, nous rendons visite à notre grand-mère;A1
Bonjour, je voudrais deux kilos de fraises et un kilo de haricots.;A1
Je suis débutante.;A1
Julie : merci bien.;A1
Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?;A1
Et bien sûr, nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden;A1
On fait réparer ses chaussures;A1
Salue tes parents de ma part;A1
Fais attention!;A1
Elle veut travailler avec des étrangers et elle peut parfois travailler le week-end;A1
Travaillez par groupe de deux personnes.;A1
Ma fille fait parfois des gâteaux avec sa grand-mère le samedi après-midi.;A1
Qui a pris les 100 euros ?;A1
Waf, waf, je veux rentrer à la maison, chez Alice.;A1
Vous êtes marié(e) ?;A1
L'après-midi, elle se promène dans la campagne, ou elle explore la région;A1
Où habites-tu ?;A1
Grand Dieu !;A1
Parlez-moi d'une journée habituelle.;A1
Prends un pot de yaourt en verre.;A1
A Barcelone, mes parents ont réservé un appartement près de la plage;A1
Les hommes les entourent.;A1
Envoie-moi un mot pour confirmer votre présence.;A1
Je vais prendre une tarte aux fraises.;A1
Bons baisers de la Réunion où nous passons quelques jours de vacances.;A1
Il porte aussi des lunettes rouges;A1
Virginie adore les vacances à la mer;A1
J'habite un quartier calme;A1
Tapez votre message sur les touches de votre téléphone;A1
Domi était très contente de découvrir ce monde magnifique.;A1
Mets la bougie dans le pot.;A1
Je vais prendre la formule à 15 euros.;A1
Elles m'ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs;A1
Un saison parfaite pour les sorcières;A1
Ma soeur s'appelle Laura, elle a treize ans.;A1
Bonjour Abdel et merci pour ton message !;A1
Mon réveil sonne à six heures et demie, je me rendors pendant un quart d'heure, et je me lève vers sept heures moins le quart;A1
Tu manges beaucoup.;A1
Salut!;A1
Il joue au football depuis cinq ans.;A1
Où habitez-vous ?;A1
Le jour de l'An correspond au 1 janvier.;A1
Il vit à Paris avec ses parents et sa petite soeur Julie, âgée de 8 ans.;A1
Ainsi, Pierre a le privilège d'admirer chaque jour l'un des monuments les plus visités au monde;A1
Bonne chance !;A1
Bonne idée.;A1
mais aussi des fraisiers : je me régale et je fais le plein de vitamines J'espère que tu passes de bonnes vacances à Limoges;A2
En plus, il y avait le grand parasol qui prenait toute la place;A2
Alexandre a bu beaucoup de café et n'a pas beaucoup dormi cette semaine;A2
Je suis arrivé en retard à mon rendez-vous quotidien.;A2
Désolé pour le retard, nous sommes très occupés ce soir.;A2
"""avoir compassion de"" signifie ""avoir de la pitié, de la sympathie"" envers quelqu'un.";A2
La cuisine est la pièce préférée de ma maison;A2
J'ai conseillé à ma soeur d'aller dans cette école privée.;A2
Je suis allée voir un film d'humour en plein air avec mon petit copain.;A2
Vous devez revenir au bureau pour la réunion avec le directeur de l'entreprise Nysol.;A2
Le lundi, David reste toute la journée à l'école.;A2
L'ascenseur est en panne.;A2
À la Une ce soir, la condamnation de Nicolas Sarkozy.;A2
Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film;A2
C'est ce que font très bien les photographes documentaires;A2
Il était temps pour eux de migrer vers l'Afrique, en attendant le prochain été.;A2
Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.;A2
Pendant une heure et demie, Théo peut penser à autre chose qu'à l'école et s'amuser avec ses amis;A2
Pour avoir plus d'informations, tu peux venir voir le médecin de l'école tous les jours au bureau 4B, au 4e étage.;A2
Excusez-moi, serait-il possible de changer de table ?;A2
Tu était déjà allé voir cette pièce de théâtre ?;A2
Quand on était petit, on apprenait à marcher.;A2
Je suis contente que cette histoire t'ait plu.;A2
La femme a finalement réussi à sortir du trou.;A2
Mesdames, messieurs, votre attention s'il vous plaît.;A2
l'école doit nous préparer à affronter ce monde.;A2
C'est en tout cas ce que pensait Capek dans son livre fondateur.;A2
Un héritier : un héritier est une personne qui reçoit des droits ou un patrimoine après la mort d'une personne.;A2
Merci Gaio, Ne t'inquiète pas, fais à ton rythme.;A2
Marie m'a téléphoné et elle m'a rejoint.;A2
La seule personne qui le comprenne vraiment, c'est son grand-père, avec lequel il passe de longues heures à bricoler dans la petite maison du jardin.;A2
Une vieille dame : Celle-ci, c'est la Harco, là-bas dans le fond, c'est la Coucou de Rennes;A2
Vincent cherche une idée de cadeau pour le départ de sa collègue de bureau;A2
Personne n'a échoué: ils ont tous réussi.;A2
Je te dis à très bientôt pour une rentrée des classes en pleine forme !;A2
La cuillère n'existe pas.;A2
A quel animal, le berger demande-t-il de l'aide ?;A2
C'est déjà le lundi, et toute la semaine recommence;A2
La grange était en feu.;A2
Je me souviens d'une anecdote en particulier.;A2
Andrew : mon Dieu, les gens à la table à côté de la nôtre crient.;A2
Le frère de Stéphane peut venir les rechercher à l'aéroport le 26/11, mais malheureusement, il a refusé de les y conduire.;A2
Le soir venu, il faut rentrer en prenant le même chemin que le matin;A2
Après son repas, il retourne à la salle de bain pour se brosser les dents et pour aller aux toilettes.;A2
Non, ne sors pas jouer sans protection !;A2
Un roman émouvant, où il est question d'apprendre à vivre, de trouver sa place parmi les autres.;A2
Tu prenais une douche et tu allais au lit.;A2
Nous avions besoin d'aide.;A2
Elle a dû faire beaucoup de rééducation mais elle est presque rétablie maintenant.;A2
Oui, prenons-en pour le trajet!;A2
Je n'ai pas beaucoup d'occasions d'écouter les chansons modernes.;A2
Votre façon de raconter des histoires est vraiment magnifique.;A2
Il y avait deux enfants de 14 et 11 ans.;A2
Mais les jeunes ils attendent ça depuis longtemps.;A2
Il doit étudier et écrire pendant quatre heures le matin et il ne peut se reposer que vingt minutes au moment de la récréation, à dix heures du matin.;A2
Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine;A2
Et puis, dans la famille, personne chantait;A2
Je retourne à mon vice !;A2
Au menu de ce midi, ce sont les restes du repas;A2
Elle fait face à de nombreux défis et elle les relève.;A2
Serveur : bonsoir, madame, en quoi puis-je vous aider ?;A2
D'abord, je dois aller à la boulangerie pour acheter du pain et des croissants;A2
Une revue avec laquelle il fait bon se poser;A2
Ensemble, ils vont partir à Paris et ils doivent prendre l'avion le 2/11, au début de l'après-midi.;A2
Comment est votre blanquette ?;A2
C'était en automne, au temps où les serpents vont dormir dans la terre, et le berger en entendant un petit bruit, leva la tête pour voir quelle en était la cause.;A2
La classe de Mme Gaudé a fait une pièce de théâtre en anglais et la classe de M. Prêche a présenté un spectacle de danse.;A2
Lis un livre pour être plus calme.;A2
Il sait bien cuisiner alors en général, il prépare aussi le repas.;A2
Ce sont elles qui les comptent et les mettent dans notre panier.;A2
Le petit chat plaît à mes parents.;A2
Les enfant n'avaient pas envie de travailler leurs devoirs après l'école.;A2
Aujourd'hui, je vais te présenter ma famille;A2
Il croyait que nous avions raison.;A2
Mes parents disent que l'île est très jolie : il y a de très belles plages, on va pouvoir nager.;A2
Pour se détendre, Théo prend souvent un bain le soir avant de jouer encore un peu et d'aller dormir;A2
Il n'aime pas donner les billets de vingt ou de cinquante euros.;A2
Le centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou ses collègues de travail.;A2
Le serveur : Oui, ça commence dans quelques minutes !;A2
Et vous avez la marionnette à fils, où le manipulateur est au-dessus et la marionnette a des fils reliés à l'animateur.;A2
Parfois, ma grand-mère Marie l'invite à la maison pour le déjeuner.;A2
Et pour les enfants, des ateliers de pâtisserie se dérouleront chaque jour tout au long de la journée;A2
Pas un villageois n'y échappe.;A2
Mais surtout, ce sourire-là était spécialement pour moi.;A2
Ils viennent dans une salle de spectacle, avec des rideaux qui s'ouvrent, avec des couleurs, avec une mise en scène, avec des bulles, avec des flammes, avec de la fumée.;A2
J'aime les panoramas.;A2
La mère et son fils s'installent loin des autres.;A2
À quelle période de l'année se déroule l'histoire ?;A2
Il est allé chez le dentiste pour enlever une dent hier matin avant d'aller au travail.;A2
Cette fois, les femmes et les enfants marchent au milieu du groupe.;A2
Pour moi, les médecins et les infirmières sont des héros sans costume.;A2
Ils ont des étoiles plein les yeux;A2
Merci de me remplacer pour servir les clients au magasin.;A2
Le chef du gouvernement appelle à des élections.;A2
Ne pas respirer les aérosols.;A2
Non, juste quelques minutes.;A2
Bien, l'enquête est terminée, madame.;A2
Au moment de payer, notre petit garçon est toujours volontaire.;A2
C'est une fête chrétienne qui célèbre la naissance de Jésus.;A2
Comme il ne pouvait pas sortir, il s'enveloppa dans son manteau, se coucha à terre, et dormit comme les serpents.;A2
Théo vérifie qu'il a bien fait son lit avant de s'habiller et de partir à l'école;A2
Il prend le bus tous les soirs.;A2
Un enfant : Regarde les oeufs !;A2
Quand les clients viennent, on a l'impression qu'ils viennent dans un endroit féerique;A2
C'est une fête très joyeuse où tout le monde met des vêtements pleins de couleurs.;A2
Je serai ravi de t'accueillir.;A2
L'indicateur n'était que de 40% chez les femmes en 2009.;A2
D'abord, je préfère quand il ne fait pas trop chaud, et j'adore la lumière dorée des belles journées d'automne;A2
Comme il faisait très beau, nous nous sommes promenés le long de la Seine;A2
Le soir, nous avons mangé dans un excellent restaurant;A2
Le petit chat a plu à mes parents;A2
Ils sont allés en vacances l'été dernier;A2
Je suis restée quatre semaines à Boston dans une famille.;A2
La plupart du temps vous êtes à la maison, donc les suites des interventions sont beaucoup plus faciles;A2
J'ai décidé de peindre les murs en jaune et d'y installer mon piano.;A2
La journée est longue pour David qui attend le samedi toute la semaine;A2
Vous ne pouvez pas commencer votre journée sans votre bol de chocolat chaud ?;A2
Le centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou ses collègues de travail;A2
Tu envoyais un message à tes amis chaque soir avant de te coucher.;A2
Nous avons beaucoup de chance de pouvoir manger des légumes frais du jardin tous les jours.;A2
Bon, mais ce qui compte c'est que l'école de Jules Ferry c'est une école qui a introduit de nouvelles valeurs pour l'époque, des valeurs qui fondent notre société aujourd'hui et qui sont directement héritées de l'esprit des grands philosophes.;A2
Dites-moi où me cacher.;A2
Quand on est petit, on apprend à marcher dès huit mois.;A2
J'espère que tu passes de bonnes vacances à Limoges.;A2
Je t'ai attendu 1 heure devant le cinéma dans le froid;A2
J'ai 36 ans.;A2
Elle ne travaille plus ici depuis quinze jours.;A2
La cloche de l'école sonne à quatorze heures pour que tout le monde retourne en classe jusqu'à dix-sept heures.;A2
On a dû écouter nos parents;A2
J'étais donc lycéen et pompier à la fois.;A2
Alors, tu voyais le film, tu écrivais un texte et tu décrivais l'histoire.;A2
Demain, j'ai été fêter mon anniversaire;A2
Un bienfaiteur est une personne qui apporte son aide, généralement en donnant de l'argent.;A2
Notre garçon de sept ans, et nos jumelles de quatre ans se lèvent quand ils veulent, mais pas plus tard que dix heures.;A2
Ces dernières années, j'avais un peu délaissé le piano et j'ai joué pendant une heure.;A2
Le ciel était noir.;A2
Il t'ordonne de partir immédiatement !;A2
Ça change que tout le monde au XIXe siècle était obligé de comprendre le français pour aller à la mairie, au service militaire ou encore pour lire la presse.;A2
Rosa : Ça n'a pas beaucoup changé ici depuis 40 ans !;A2
Quand le téléphone a sonné, on a répondu immédiatement.;A2
Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.;A2
Nous avons commencé un nouveau cours;A2
Il sait écrire son nom.;A2
Il ne faut pas utiliser de mots familiers pendant l'entretien;A2
Je m'appelle Laurent et j'habite à Paris avec mes parents, ma soeur ainée et mon frère.;A2
Ils ont peint le mur sale de la cuisine.;A2
La Chandeleur est une fête très ancienne.;A2
En cas de danger, il faudra vite repartir en voiture;A2
J'en profite pour me baigner à la rivière avec mes cousins presque tous les jours !;A2
Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.;A2
Le serveur : Je vous apporte votre commande !;A2
J'attends ta réponse;A2
Tu pourrais ranger ta chambre, ça t'aiderait à les retrouver !;A2
Ils font à manger et ils nettoient toujours la cuisine juste après.;A2
Là-bas tout le monde parle anglais ! Londres est différent de Paris.;A2
À votre arrivée, le 7 juin prochain, nous allons vous accueillir à l'aéroport pour vous conduire à votre hôtel.;A2
Ensuite, je vais faire mes courses au supermarché où je vais acheter des fruits et des légumes;A2
Il s'agissait avant tout de franciser la République, de faire en sorte que tous les petits Français parlent français.;A2
Le 8 mai est la fête de la Victoire;A2
Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.;A2
Tout petit, quand j'étais malade, eh bien, on mettait Blanche Neige dans mon lit pour m'endormir le soir.;A2
Nous continuons de parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue natale;A2
D'autres sont plus critiques.;A2
L'école de la République qui a été fondée au XIXe reste aujourd'hui extrêmement actuelle, et on ne peut pas dire qu'elle a simplement servi à franciser les Français.;A2
Il a participé à la construction du canal ?;A2
Je travaillais lorsqu'il est arrivé par surprise derrière moi.;A2
A la fin de son apprentissage, Julien est parti en France.;A2
"Appuyez sur le bouton ""Marche"", en bas à droite de la machine.";A2
Tu remplis le pot d'eau et tu mets des glaçons.;A2
Notre garçon de sept ans, et nos jumelles de quatre ans se lèvent quand ils veulent, mais pas plus tard que dix heures;A2
Je rentrais chaque jour en compagnie de mon amoureux.;A2
Mets ça sur ton pied, ça va soulager la douleur.;A2
Le corgi a l'allure d'un petit renard.;A2
Après ça, nous étions un peu fatigués;A2
Que donne le Père éternel à cet animal ?;A2
"Ils se disent prêts à quitter travail et confort, à s'éloigner de leurs amis, à ""gagner moins pour vivre mieux"".";A2
Un message d'urgence des pompiers vient de tomber :;A2
J'y suis allé hier en scooter.;A2
Il doit téléphoner quand il reçoit des nouvelles de la part des sauveteurs.;A2
Il a trouvé ses clés dans la niche du chien, sous un tas de feuilles.;A2
Il pleurait à chaque fois.;A2
Et il faut construire les marionnettes, faire les costumes, faire les décors, faire la mise en scène, faire les enregistrements.;A2
"Laissez-moi vous dire d'abord que beaucoup de gens parlaient français ; n'oubliez pas que le français s'est imposé comme langue de l'administration au XVIe siècle, au traité de Villers-Cotteret.";A2
Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film.;A2
M. Cruchon vient de donner une réponse à notre question.;A2
Le mardi ressemble au lundi sauf qu'il n'y a pas d'activité après l'école, David rentre chez lui pour faire ses devoirs et se reposer;A2
Souvent, je m'arrêtais pour parler avec les villageois.;A2
Le livre est mis en vitrine par les libraires;A2
C'est exactement l'une des meilleurs methodes d'apprentissage d'une langue etrangere.;A2
Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?;A2
Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine.;A2
La mère de Thom est fatiguée par la longue marche.;A2
Ce dragon était le vieux serpent, le roi.;A2
La digestion est plus difficile.;A2
Anna s'amusait avec son frère quand il s'est cassé le bras gauche.;A2
Tu vas bien? Moi, je suis en vacances chez oncle Guillaume et tante Noémie.;A2
C'est auprès de son grand-père que Grégoire trouvera le courage de lutter pour devenir quelqu'un et grandir tout simplement.;A2
J'ouvrais la porte et le chien courait à l'extérieur.;A2
C'est dans ce village de 1638 habitants que sont implantés les locaux de la nouvelle émission de téléréalité.;A2
Les vents ne se calmèrent qu'au petit matin.;A2
Il a déjà inventé une machine à enlever la peau des bananes !;A2
Il fit quelques pas et vit un sapin.;A2
À midi, c'est l'heure de déjeuner;A2
Celui-ci s'était cassé une aile en tombant d'une branche et il ne pouvait plus voler.;A2
Chêne, mon aile est cassée, je ne peux pas voler.;A2
J'ai pris du poisson avec du riz, et mon frère a choisi un simple steak-frites;A2
Et effectivement dans les zones sinistrées, c'est l'heure du bilan;A2
Une consigne qui est suivie de près par les Japonais.;A2
Je vois mon père un week-end sur deux.;A2
C'est somptueux.;A2
Cette histoire parle d'un berger qui une fois dans la montage avec ses moutons, entend un petit bruit.;A2
La fée est réapparue une deuxième fois dans la forêt.;A2
Pourtant, comme d'habitude, elle est attentive et calme.;A2
Le 1er mai correspond à la fête du Travail, et rappelle la lutte des ouvriers pour réduire la journée de travail à huit heures.;A2
